vendor_name,vendor_id,bank_account,invoice_number,invoice_date,due_date,unit_price,quantity,total_amount,tax_amount,payment_terms,department,approver_name,fraud,is_duplicate,days_to_due,weekend_submission,amount_threshold_proximity,line_item_price_consistency
"Pruitt, Moreno and Carter",V031,UGOR14323093808738,INV-89205,2026-03-25,2026-04-09,2167,1,2167,390.06,15,HR,Kenneth Bradford,0,0,15,0,97833,1
Torres and Sons,V020,NHIU78716757459372,INV-79521,2026-01-29,2026-03-15,2893,15,43395,7811.099999999999,45,IT,Ashley Murphy,0,0,45,0,56605,1
Nguyen-Taylor,V029,RUDI59270397685978,INV-79938,2025-10-20,2025-11-04,2073,14,29022,5223.96,15,Procurement,Alisha Banks,0,0,15,0,70978,1
Thompson Group,V032,EANL34757347408734,INV-90402,2026-01-02,2026-02-16,4492,6,26952,4851.36,45,Finance,Jennifer White,0,0,45,0,73048,1
"Adams, Hall and Bowman",V030,ULXM74439080787901,INV-24102,2026-03-31,2026-05-15,1669,4,6676,1201.68,45,Procurement,Robyn Gutierrez,0,0,45,0,93324,1
Cherry-Stewart,V018,TXDQ34783432274301,INV-25842,2026-03-25,2026-05-24,2919,15,43785,7881.299999999999,60,IT,Zachary Smith,0,0,60,0,56215,1
Hull-Hernandez,V041,QQVA10208714539637,INV-30296,2025-06-28,2025-08-27,4346,14,60844,10951.92,60,Finance,Daniel Miller,0,0,60,1,39156,1
Torres-Cohen,V002,IOBT73403088527386,INV-37722,2025-07-30,2025-09-28,3488,16,55808,10045.44,60,Finance,Shirley Brown,0,0,60,0,44192,1
Galvan Group,V044,HJAE50608083588975,INV-75277,2026-01-16,2026-02-15,1320,10,13200,2376.0,30,Operations,Jennifer Martinez,0,0,30,0,86800,1
Torres and Sons,V020,MKBR10240473757413,INV-59196,2026-05-18,2026-07-02,1921,6,11526,2074.68,45,Finance,Hannah Maynard,0,0,45,0,88474,1
Campos-Lutz,V042,BPGY46016198227896,INV-40235,2025-10-19,2025-12-03,343,5,1715,308.7,45,Finance,Karen Mckenzie,0,0,45,1,98285,1
Johnson-Peterson,V001,RBID03545623731358,INV-79602,2025-09-03,2025-10-03,1231,16,19696,3545.28,30,Finance,Jack Jones,0,0,30,0,80304,1
Thomas-Padilla,V024,NRHI18976784733913,INV-29099,2025-11-21,2025-12-21,2944,11,32384,5829.12,30,Operations,Jacob Andersen,0,0,30,0,67616,1
Nguyen-Taylor,V029,JTQN68560442818876,INV-95243,2026-01-12,2026-02-26,581,13,7553,1359.54,45,Operations,Jennifer Perry,0,0,45,0,92447,1
"Johnston, Martinez and Lowery",V049,AQHB15777053742926,INV-35618,2025-08-11,2025-08-26,376,8,3008,541.4399999999999,15,IT,Carrie Cline,0,0,15,0,96992,1
Carter-Young,V048,LZWN83400187305829,INV-50160,2026-05-05,2026-06-19,3848,3,11544,2077.92,45,HR,Jamie Taylor,0,0,45,0,88456,1
Franklin-Bailey,V021,NJQH59860077771215,INV-57061,2025-08-21,2025-09-05,3392,17,57664,10379.52,15,HR,Shawn Mcintyre PhD,0,0,15,0,42336,1
"Rice, Holloway and Kim",V019,LYVF94322844171982,INV-94270,2026-01-07,2026-02-21,1824,7,12768,2298.24,45,HR,Brenda Johnson,0,0,45,0,87232,1
"Adams, Hall and Bowman",V030,HJWR55404471878618,INV-98336,2025-08-06,2025-10-05,257,9,2313,416.34,60,Procurement,Dr. Randall Conley,0,0,60,0,97687,1
"Duran, Walsh and Murphy",V039,LPYL69742497646160,INV-91543,2025-11-30,2025-12-15,1903,20,38060,6850.8,15,Procurement,Paul Wallace,0,0,15,1,61940,1
Galvan Group,V044,ZJKT24818166835914,INV-49016,2025-06-10,2025-07-25,4217,20,84340,15181.2,45,Procurement,Cameron Schmidt,0,0,45,0,15660,1
Richards PLC,V047,JWLO18214187707752,INV-15812,2026-03-27,2026-04-11,4398,14,61572,11082.96,15,Finance,Angelica Taylor,0,0,15,0,38428,1
Weeks-Dodson,V046,HQVO18059572183121,INV-49533,2026-02-24,2026-03-26,2873,15,43095,7757.099999999999,30,Finance,Jacqueline Bishop,0,0,30,0,56905,1
Galvan Group,V044,FJLO51814342775149,INV-58376,2025-06-20,2025-07-20,4284,5,21420,3855.6,30,IT,Angela Greene,0,0,30,0,78580,1
Torres-Cohen,V002,UPXN51690819590705,INV-54600,2026-05-10,2026-07-09,4158,10,41580,7484.4,60,HR,Wayne Waters,0,0,60,1,58420,1
Torres and Sons,V020,HFFJ63796082709092,INV-57223,2026-05-09,2026-06-08,1873,13,24349,4382.82,30,IT,Devin Rogers,0,0,30,1,75651,1
Ramos-Brown,V034,GOQV91004286333390,INV-42807,2025-07-14,2025-08-28,3544,5,17720,3189.6,45,Procurement,Alfred Cabrera II,0,0,45,0,82280,1
Hood and Sons,V045,MHEV24119284709269,INV-31817,2026-02-26,2026-03-13,1294,12,15528,2795.04,15,Finance,Heather Hampton,0,0,15,0,84472,1
Galvan Group,V044,MDYI62371104607229,INV-43166,2025-07-19,2025-08-03,4630,12,55560,10000.8,15,IT,Jeremy Jimenez,0,0,15,1,44440,1
Smith-Haynes,V008,TNEI30260482903997,INV-48477,2025-08-22,2025-09-06,4546,9,40914,7364.519999999999,15,HR,Hannah Price,0,0,15,0,59086,1
Bass and Sons,V027,VIYY99154847473650,INV-82428,2026-01-13,2026-01-28,811,16,12976,2335.68,15,Finance,Anita Edwards,0,0,15,0,87024,1
Cherry-Stewart,V018,IEEC69811384058485,INV-68066,2026-01-02,2026-02-16,3050,7,21350,3843.0,45,Operations,Alex Moore,0,0,45,0,78650,1
"Johnston, Martinez and Lowery",V049,LZIK75525545112959,INV-90039,2026-05-22,2026-06-21,1187,19,22553,4059.54,30,HR,Stephen Castillo,0,0,30,0,77447,1
Galvan Group,V044,RJKE87314135616784,INV-93485,2026-04-07,2026-04-22,4811,7,33677,6061.86,15,HR,Maurice Garcia,0,0,15,0,66323,1
"Berry, Baker and Ellis",V004,REIJ03059293115346,INV-92541,2026-03-10,2026-03-25,4869,5,24345,4382.099999999999,15,Procurement,Nicholas Garner,0,0,15,0,75655,1
"Robbins, Hughes and Johnson",V006,SING84767228181477,INV-15645,2025-08-15,2025-08-30,3764,1,3764,677.52,15,HR,Mark Ramirez,0,0,15,0,96236,1
Payne-Baker,V050,GSQX56772062070089,INV-82152,2025-08-01,2025-08-31,3728,18,67104,12078.72,30,HR,Mary Robinson,0,0,30,0,32896,1
Weeks-Dodson,V046,RRWW23901086549636,INV-67546,2026-02-03,2026-04-04,4898,3,14694,2644.92,60,Operations,Michael Lee,0,0,60,0,85306,1
Torres-Cohen,V002,FKKK18572948339090,INV-57285,2026-05-18,2026-07-02,3660,18,65880,11858.4,45,Procurement,Adriana Smith,0,0,45,0,34120,1
"Moreno, Bryant and Travis",V026,JOLD39595934811879,INV-98170,2025-06-10,2025-06-25,3989,2,7978,1436.04,15,Finance,Jasmine Strickland,0,0,15,0,92022,1
Hull-Hernandez,V041,TJCE65008425314752,INV-20739,2025-08-24,2025-09-08,768,13,9984,1797.12,15,Finance,Frederick Sanders,0,0,15,1,90016,1
"Johnston, Martinez and Lowery",V049,YPNQ16166906320500,INV-48252,2025-08-08,2025-09-07,3420,6,20520,3693.6,30,IT,Angela Meyers,0,0,30,0,79480,1
Larsen-Jones,V022,TYBE52879996071461,INV-63543,2025-11-26,2026-01-10,4427,17,75259,13546.62,45,Operations,Linda Lewis,0,0,45,0,24741,1
"Morrow, Robertson and Lynch",V025,JMYQ16445741701015,INV-19856,2025-07-10,2025-08-09,961,8,7688,1383.84,30,IT,Mary Horn,0,0,30,0,92312,1
Roberts-Hunt,V037,BNYP40402901100228,INV-60201,2026-03-21,2026-05-05,4194,19,79686,14343.48,45,Procurement,Jill Brown,0,0,45,1,20314,1
Larsen-Jones,V022,SVXC72234095291218,INV-71058,2025-09-28,2025-10-13,4238,11,46618,8391.24,15,Operations,Deborah Brown,0,0,15,1,53382,1
Conway-Wilson,V033,BBZE76722892644887,INV-94326,2026-01-04,2026-02-03,3732,20,74640,13435.2,30,HR,Mr. Ronald Pierce Jr.,0,0,30,1,25360,1
"Rodriguez, Acosta and Le",V017,GZNV79972436453021,INV-12270,2025-08-30,2025-10-14,637,2,1274,229.32,45,Procurement,Hannah Barnes,0,0,45,1,98726,1
Huerta-Carr,V015,RDOU80048943588529,INV-34266,2025-08-11,2025-09-25,216,14,3024,544.3199999999999,45,Finance,Dennis Cook DVM,0,0,45,0,96976,1
"Duran, Walsh and Murphy",V039,RVYK11658424241777,INV-29186,2025-08-06,2025-09-05,4440,4,17760,3196.8,30,IT,Lisa Holt,0,0,30,0,82240,1
Conway-Wilson,V033,JXQQ30945374148872,INV-86254,2025-07-26,2025-08-10,1966,2,3932,707.76,15,HR,John Bennett MD,0,0,15,1,96068,1
Carter-Young,V048,CQJO54587772820005,INV-48459,2025-08-30,2025-09-14,2664,3,7992,1438.56,15,Finance,Jonathan Jones,0,0,15,1,92008,1
Thompson Group,V032,XPOV66918706558637,INV-34221,2026-05-20,2026-07-04,1864,7,13048,2348.64,45,IT,Mr. Michael Fitzpatrick,0,0,45,0,86952,1
"Mckinney, Martinez and Chavez",V007,WRBL38419328461205,INV-18650,2026-01-10,2026-02-24,3773,20,75460,13582.8,45,Procurement,Richard Garcia,0,0,45,1,24540,1
"Jones, Clark and Singh",V016,VCXT91940510706659,INV-27739,2026-05-06,2026-06-20,2448,17,41616,7490.88,45,Procurement,Courtney Rodriguez,0,0,45,0,58384,1
Williams-Rios,V012,NLVL33347320016900,INV-49230,2025-09-17,2025-11-16,2413,14,33782,6080.76,60,HR,Elizabeth Murray,0,0,60,0,66218,1
Torres-Cohen,V002,WOUO50876297444699,INV-16993,2025-07-05,2025-08-04,4945,20,98900,17802.0,30,Operations,Connor Hartman,0,0,30,1,1100,1
Williams-Rios,V012,XZVF75041844388059,INV-78200,2025-10-25,2025-12-24,3593,12,43116,7760.88,60,Finance,Kathleen Wallace,0,0,60,1,56884,1
Nguyen-Taylor,V029,YSAR16648577252398,INV-12157,2025-09-07,2025-11-06,2530,15,37950,6831.0,60,Finance,Susan Giles,0,0,60,1,62050,1
Martin-Matthews,V010,DEPQ34321310613968,INV-71625,2026-05-28,2026-07-27,3795,4,15180,2732.4,60,HR,Kim Weeks,0,0,60,0,84820,1
Williams-Rios,V012,HFNT34588365872503,INV-68949,2026-04-07,2026-06-06,4084,16,65344,11761.92,60,Operations,Mr. Roberto Garcia MD,0,0,60,0,34656,1
Weeks-Dodson,V046,WXOE74090033063906,INV-45257,2025-07-22,2025-09-20,1744,11,19184,3453.12,60,Procurement,Jennifer Smith,0,0,60,0,80816,1
"Duran, Walsh and Murphy",V039,CEPM39147890019302,INV-27708,2025-12-21,2026-01-05,2982,4,11928,2147.04,15,Procurement,Laurie Perez,0,0,15,1,88072,1
Rivera and Sons,V038,WIWW94487019749454,INV-74088,2025-08-05,2025-08-20,3295,8,26360,4744.8,15,IT,Timothy Cummings,0,0,15,0,73640,1
Walker Ltd,V005,XMNT88224642631458,INV-92417,2026-02-23,2026-04-24,3258,4,13032,2345.76,60,HR,Mark Rios,0,0,60,0,86968,1
"Johnston, Martinez and Lowery",V049,UMDW85451328881767,INV-33428,2025-10-18,2025-11-17,3958,12,47496,8549.279999999999,30,Operations,Melissa Johnson,0,0,30,1,52504,1
Smith-Haynes,V008,NKNQ87136658307722,INV-29993,2026-01-21,2026-02-05,2849,19,54131,9743.58,15,Operations,Spencer Sanders,0,0,15,0,45869,1
"Quinn, Bell and Martinez",V035,XJZI63173775586953,INV-82721,2026-05-20,2026-06-19,1056,16,16896,3041.28,30,IT,Theodore Barry,0,0,30,0,83104,1
Richards PLC,V047,ZBMH62747046552027,INV-79441,2026-05-29,2026-06-28,2631,5,13155,2367.9,30,Finance,Mark Davis,0,0,30,0,86845,1
"Werner, Arnold and Fisher",V036,TQZP50069318141023,INV-49283,2025-12-30,2026-02-13,1223,16,19568,3522.24,45,Operations,Melissa Rosario,0,0,45,0,80432,1
"Mckinney, Martinez and Chavez",V007,QMIH81756148161160,INV-12979,2025-10-09,2025-11-23,4366,20,87320,15717.6,45,Finance,Samantha King,0,0,45,0,12680,1
"Mckinney, Martinez and Chavez",V007,ZUBG97591919857447,INV-17134,2025-06-17,2025-08-16,3088,20,61760,11116.8,60,IT,Scott Mccoy,0,0,60,0,38240,1
Martin-Matthews,V010,ULLW06221103828656,INV-23290,2026-01-11,2026-02-25,3781,15,56715,10208.7,45,IT,Jennifer Miller,0,0,45,1,43285,1
Richards PLC,V047,DQMS34515502827214,INV-10346,2025-07-11,2025-08-25,1765,7,12355,2223.9,45,IT,Christina Curtis,0,0,45,0,87645,1
"Adams, Hall and Bowman",V030,CAID12911683431949,INV-80836,2025-08-22,2025-09-06,391,16,6256,1126.08,15,Operations,Aaron Burton,0,0,15,0,93744,1
"Cruz, Green and Flynn",V040,FRLA10701906272152,INV-56903,2025-10-01,2025-10-16,4184,1,4184,753.12,15,Operations,Cristian King,0,0,15,0,95816,1
"Werner, Arnold and Fisher",V036,DRIC45652976778264,INV-26152,2026-05-01,2026-05-31,1546,4,6184,1113.12,30,Finance,Steven Miller,0,0,30,0,93816,1
Rivera and Sons,V038,UQAP56939083967389,INV-15003,2026-02-24,2026-03-26,4421,6,26526,4774.679999999999,30,Procurement,Morgan Kidd,0,0,30,0,73474,1
"Mckinney, Martinez and Chavez",V007,NLMF56184805366626,INV-79870,2025-06-13,2025-08-12,700,15,10500,1890.0,60,Procurement,Amy Phillips,0,0,60,0,89500,1
Olsen-Richard,V003,TTHG47055460547326,INV-28707,2026-02-21,2026-03-23,2228,5,11140,2005.2,30,Finance,Sean Zimmerman,0,0,30,1,88860,1
Perry-Conway,V014,UZPS45698317256850,INV-41908,2025-12-10,2026-01-09,4445,1,4445,800.1,30,Finance,Jesus Hughes,0,0,30,0,95555,1
"Berry, Baker and Ellis",V004,LVFN01091107078544,INV-58606,2026-02-19,2026-03-21,4296,5,21480,3866.4,30,Finance,Kristopher Green,0,0,30,0,78520,1
Olsen-Richard,V003,PMKJ54652801732482,INV-49932,2025-11-12,2025-12-12,2506,13,32578,5864.04,30,Operations,Wendy Sullivan DVM,0,0,30,0,67422,1
Holt Inc,V043,BSOS21428976133231,INV-91109,2026-01-31,2026-02-15,284,17,4828,869.04,15,Operations,Nicole Holt,0,1,15,1,95172,1
"Ward, Barrett and Johnson",V023,GTJS03273127595450,INV-50701,2025-08-13,2025-08-28,399,10,3990,718.1999999999999,15,Finance,Donna Doyle,0,0,15,0,96010,1
Hull-Hernandez,V041,GJAF59379154057997,INV-15506,2026-02-21,2026-03-23,4351,2,8702,1566.36,30,Procurement,Pamela Wheeler,0,0,30,1,91298,1
"Rice, Holloway and Kim",V019,ITGA08405524451621,INV-98304,2025-09-14,2025-09-29,528,16,8448,1520.64,15,HR,Gregory Cross,0,0,15,1,91552,1
Thompson Group,V032,ASGJ81584104683991,INV-99464,2025-10-27,2025-11-11,4109,10,41090,7396.2,15,Procurement,Benjamin Burns,0,0,15,0,58910,1
Walker Ltd,V005,BUGL95444055544544,INV-30811,2025-11-26,2026-01-25,2539,1,2539,457.02,60,Procurement,Keith Meyer,0,0,60,0,97461,1
"Johnston, Martinez and Lowery",V049,KQZN94476065331611,INV-77487,2025-08-12,2025-09-26,1664,9,14976,2695.68,45,HR,Lori Thomas,0,0,45,0,85024,1
"Rodriguez, Acosta and Le",V017,ROHT96916412841033,INV-32708,2026-01-01,2026-01-31,3039,11,33429,6017.219999999999,30,Operations,Alexander Moore,0,0,30,0,66571,1
Perry-Conway,V014,NJSB90791331262980,INV-34988,2026-01-13,2026-03-14,1842,10,18420,3315.6,60,HR,Jasmin Hawkins,0,0,60,0,81580,1
Smith LLC,V011,WNFH68519982378402,INV-26040,2025-10-27,2025-11-26,2857,6,17142,3085.56,30,HR,Ashley Jackson,0,0,30,0,82858,1
Conway-Wilson,V033,UJAW12878958452075,INV-23239,2026-04-30,2026-05-30,3841,16,61456,11062.08,30,Finance,Jeffrey Ross,0,0,30,0,38544,1
Campos-Lutz,V042,KGEZ57125898924595,INV-54498,2025-07-04,2025-08-18,4333,8,34664,6239.52,45,Procurement,Jennifer Mccoy,0,0,45,0,65336,1
Walker Ltd,V005,QYQB70186259598246,INV-21968,2026-04-28,2026-06-12,4761,5,23805,4284.9,45,Operations,Patrick Thomas,0,0,45,0,76195,1
Smith-Haynes,V008,VHLL31768926674610,INV-41349,2025-09-06,2025-09-21,2085,1,2085,375.3,15,Procurement,James Norton,0,0,15,1,97915,1
"Duran, Walsh and Murphy",V039,RUTA91858027060462,INV-94452,2026-03-03,2026-05-02,986,1,986,177.48,60,HR,David Johnson,0,0,60,0,99014,1
"Silva, Hahn and Benson",V013,DMZS83044829551516,INV-73621,2025-07-20,2025-09-03,402,16,6432,1157.76,45,Finance,Theresa Rodgers,0,0,45,1,93568,1
Johnson-Peterson,V001,RZAW21379945525668,INV-37389,2026-03-27,2026-05-11,4235,20,84700,15246.0,45,IT,Christopher Bartlett,0,0,45,0,15300,1
"Berry, Baker and Ellis",V004,DVND89695989469766,INV-69507,2026-02-02,2026-02-17,2374,6,14244,2563.92,15,Procurement,Chelsea Taylor,0,0,15,0,85756,1
Bass and Sons,V027,KTZQ27330375079214,INV-95407,2025-10-08,2025-12-07,1330,16,21280,3830.4,60,IT,Matthew Kim,0,0,60,0,78720,1
Holt Inc,V043,VABS98469950335472,INV-64046,2026-02-28,2026-03-30,1588,13,20644,3715.92,30,HR,Christopher Bryant,0,0,30,1,79356,1
"Mckinney, Martinez and Chavez",V007,YJHN86273738785964,INV-36501,2026-03-02,2026-04-16,966,10,9660,1738.8,45,IT,Michael Pena,0,0,45,0,90340,1
Hood and Sons,V045,WSRP07762525868945,INV-12043,2026-04-18,2026-05-03,1467,18,26406,4753.08,15,IT,Debra Schroeder,0,0,15,1,73594,1
Mueller-Burke,V009,QZRS03617826159294,INV-82669,2025-12-06,2026-01-05,3134,16,50144,9025.92,30,Finance,Kelly Fisher,0,0,30,1,49856,1
Ramos-Brown,V034,LYJS83835840867135,INV-37879,2025-07-29,2025-09-27,1481,4,5924,1066.32,60,HR,Patrick Nelson,0,0,60,0,94076,1
"Mckinney, Martinez and Chavez",V007,QZAX23468694532432,INV-57513,2025-11-27,2025-12-27,222,1,222,39.96,30,Procurement,Kayla Martinez,0,0,30,0,99778,1
"Rodriguez, Acosta and Le",V017,ZOED18287039394119,INV-91187,2026-05-11,2026-05-26,3003,6,18018,3243.24,15,Operations,Belinda Thompson,0,0,15,0,81982,1
"Adams, Hall and Bowman",V030,USFC25587545186937,INV-28472,2026-04-24,2026-06-08,4388,1,4388,789.8399999999999,45,Finance,Kathryn Garcia,0,0,45,0,95612,1
"Werner, Arnold and Fisher",V036,DOGX94560031519220,INV-68303,2025-08-02,2025-10-01,784,6,4704,846.7199999999999,60,IT,Kenneth Francis,0,0,60,1,95296,1
Holt Inc,V043,PXSF61194165919663,INV-83409,2025-12-26,2026-01-25,4798,1,4798,863.64,30,IT,Cynthia Ballard,0,0,30,0,95202,1
Campos-Lutz,V042,WVAT82646586721524,INV-89918,2025-12-10,2026-02-08,3152,8,25216,4538.88,60,IT,Lori Fernandez,0,0,60,0,74784,1
Payne-Baker,V050,IZDP44081461340298,INV-54921,2026-03-03,2026-04-17,4176,4,16704,3006.72,45,Procurement,Joseph Barron,0,0,45,0,83296,1
Weeks-Dodson,V046,TCLS18574231113134,INV-85059,2026-04-23,2026-05-08,3067,5,15335,2760.3,15,IT,Sheila Phillips,0,0,15,0,84665,1
Weeks-Dodson,V046,LYFU96761526889867,INV-59964,2026-03-29,2026-04-13,2118,4,8472,1524.96,15,Finance,Gail Miles,0,0,15,1,91528,1
"Cruz, Green and Flynn",V040,TJJY69938580460522,INV-61153,2025-09-23,2025-10-23,166,14,2324,418.32,30,Finance,Terry Compton,0,0,30,0,97676,1
"Bolton, Fischer and Andersen",V028,RHXD67967743127436,INV-22078,2025-06-09,2025-06-24,3022,19,57418,10335.24,15,IT,Hayley Church,0,0,15,0,42582,1
"Duran, Walsh and Murphy",V039,GYQJ76063080088309,INV-22698,2025-06-17,2025-08-01,1499,7,10493,1888.74,45,IT,Gloria Miller,0,0,45,0,89507,1
"Rice, Holloway and Kim",V019,ERZW42779117383997,INV-60174,2026-02-15,2026-03-17,4035,10,40350,7263.0,30,HR,James Fernandez,0,0,30,1,59650,1
Olsen-Richard,V003,UYEL43847046757927,INV-70559,2026-02-28,2026-04-29,1279,10,12790,2302.2,60,HR,Angela Johnson,0,0,60,1,87210,1
Smith LLC,V011,LQSM46695718754558,INV-11512,2026-01-25,2026-02-24,4347,1,4347,782.4599999999999,30,IT,Jade Brown,0,0,30,1,95653,1
"Robbins, Hughes and Johnson",V006,DYIS84370882192771,INV-79608,2025-10-26,2025-11-10,3565,12,42780,7700.4,15,Finance,Lori Hill,0,0,15,1,57220,1
"Silva, Hahn and Benson",V013,PNXK04760595189262,INV-18774,2025-12-17,2026-01-31,1078,11,11858,2134.44,45,Procurement,Courtney Watson,0,0,45,0,88142,1
Perry-Conway,V014,KYZY75987597807617,INV-72861,2025-10-31,2025-12-15,2079,17,35343,6361.74,45,Operations,Vickie Long,0,0,45,0,64657,1
"Cruz, Green and Flynn",V040,WOYS05738521548762,INV-91269,2025-09-16,2025-10-01,442,2,884,159.12,15,HR,Michael Schwartz,0,0,15,0,99116,1
Hood and Sons,V045,MYNG27102732303159,INV-81912,2026-05-28,2026-06-27,3528,9,31752,5715.36,30,Operations,Antonio Caldwell,0,0,30,0,68248,1
Huerta-Carr,V015,YLSC12578066865415,INV-55001,2026-03-23,2026-04-07,928,1,928,167.04,15,HR,Robert Anderson,0,0,15,0,99072,1
Bass and Sons,V027,JAAE67315576828375,INV-36381,2026-03-03,2026-04-02,4709,1,4709,847.62,30,Operations,Edward Powell,0,0,30,0,95291,1
Carter-Young,V048,NCKC93639910021298,INV-84262,2025-06-08,2025-08-07,2335,9,21015,3782.7,60,Operations,Michelle Gibson,0,0,60,1,78985,1
Huerta-Carr,V015,PVPZ84235549100856,INV-58497,2026-05-12,2026-07-11,4707,14,65898,11861.64,60,HR,Steven Ramsey,0,0,60,0,34102,1
Galvan Group,V044,CGUT31095547247304,INV-73506,2025-09-05,2025-09-20,1238,12,14856,2674.08,15,IT,Amber Oliver,0,0,15,0,85144,1
Larsen-Jones,V022,TVLA11273730897316,INV-17931,2025-12-07,2025-12-22,3333,11,36663,6599.34,15,Operations,Michael Parrish,0,0,15,1,63337,1
Conway-Wilson,V033,OMUM19011806022942,INV-87594,2025-09-01,2025-09-16,526,12,6312,1136.16,15,IT,Michelle Wilson,0,0,15,0,93688,1
Smith-Haynes,V008,NJDK66221551806802,INV-68755,2026-03-02,2026-05-01,2763,3,8289,1492.02,60,IT,Timothy Allen,0,0,60,0,91711,1
Perry-Conway,V014,ELIF16419036349938,INV-67438,2026-03-12,2026-04-26,4103,7,28721,5169.78,45,Operations,Amy Rogers,0,0,45,0,71279,1
Rivera and Sons,V038,XMLY34724544662254,INV-88366,2026-01-25,2026-02-24,4074,10,40740,7333.2,30,Operations,Latasha Wallace,0,0,30,1,59260,1
"Morrow, Robertson and Lynch",V025,KLRS81963822200170,INV-85440,2026-05-18,2026-06-17,302,20,6040,1087.2,30,Operations,Carla Lewis,0,0,30,0,93960,1
Walker Ltd,V005,YJBV35482129777808,INV-59639,2025-10-26,2025-11-25,4920,16,78720,14169.6,30,IT,Andre Bradley,0,0,30,1,21280,1
Bass and Sons,V027,WZSD95928613437494,INV-82431,2025-08-19,2025-10-18,3401,19,64619,11631.42,60,IT,Anthony Ferguson,0,0,60,0,35381,1
Roberts-Hunt,V037,FHPR00517638611833,INV-65219,2025-09-25,2025-10-25,893,16,14288,2571.84,30,IT,Sara Barr,0,0,30,0,85712,1
"Cruz, Green and Flynn",V040,BGHK94784908298137,INV-83151,2025-08-23,2025-10-22,939,17,15963,2873.34,60,Operations,Amanda Shaffer,0,0,60,1,84037,1
Richards PLC,V047,YLHF10945943900011,INV-92023,2025-10-20,2025-11-04,2876,5,14380,2588.4,15,Procurement,Sherry Montgomery,0,0,15,0,85620,1
Galvan Group,V044,OLEY91532379604839,INV-75181,2026-03-25,2026-05-09,4206,8,33648,6056.639999999999,45,Operations,James Middleton,0,0,45,0,66352,1
Holt Inc,V043,XLOD73145827460224,INV-49379,2025-11-30,2025-12-15,858,16,13728,2471.04,15,IT,Karen Johnson,0,0,15,1,86272,1
Huerta-Carr,V015,BLBA28888695192528,INV-84316,2026-01-26,2026-03-27,503,10,5030,905.4,60,Operations,Timothy Jensen,0,0,60,0,94970,1
"Berry, Baker and Ellis",V004,YPJI72492999052373,INV-92458,2026-02-01,2026-03-18,3090,8,24720,4449.599999999999,45,Finance,Sarah Duran,0,0,45,1,75280,1
Hood and Sons,V045,RESE33113581480166,INV-61238,2025-11-24,2025-12-09,203,15,3045,548.1,15,HR,Catherine Wise,0,0,15,0,96955,1
"Silva, Hahn and Benson",V013,BMIN31914159308824,INV-63795,2026-01-25,2026-02-09,3554,20,71080,12794.4,15,Procurement,Ms. Denise Gilbert,0,0,15,1,28920,1
"Bolton, Fischer and Andersen",V028,PADJ92109227024189,INV-81346,2026-01-29,2026-03-30,3880,7,27160,4888.8,60,Finance,Jerry Williams,0,0,60,0,72840,1
Smith LLC,V011,QHTY83858442887182,INV-28112,2025-07-11,2025-09-09,4112,2,8224,1480.32,60,Finance,Meagan Mclaughlin,0,0,60,0,91776,1
"Duran, Walsh and Murphy",V039,EMCH44927639318126,INV-56384,2026-02-23,2026-04-24,3692,16,59072,10632.96,60,Finance,Cynthia Ibarra,0,0,60,0,40928,1
"Cruz, Green and Flynn",V040,VZYZ86317909652571,INV-68125,2025-06-20,2025-07-20,1694,1,1694,304.92,30,IT,Kevin Snyder,0,0,30,0,98306,1
Hood and Sons,V045,GDPU72770702396245,INV-15401,2025-08-25,2025-09-09,3166,7,22162,3989.16,15,HR,Derek Morris II,0,0,15,0,77838,1
Richards PLC,V047,DXMU17906195468514,INV-47510,2025-06-26,2025-07-11,1164,20,23280,4190.4,15,Finance,Stephen Grant,0,0,15,0,76720,1
"Robbins, Hughes and Johnson",V006,MNTC96145088154410,INV-14551,2025-08-05,2025-09-04,468,20,9360,1684.8,30,Finance,Russell Walker,0,0,30,0,90640,1
Galvan Group,V044,RNQZ74357963216830,INV-57106,2025-06-19,2025-07-04,966,20,19320,3477.6,15,Finance,Danielle Ball,0,0,15,0,80680,1
"Robbins, Hughes and Johnson",V006,KIAD83300504784207,INV-72858,2026-03-04,2026-05-03,3927,10,39270,7068.599999999999,60,Operations,Amber Mclaughlin,0,0,60,0,60730,1
Smith LLC,V011,LNNM87415740388407,INV-35744,2026-05-01,2026-05-31,1938,15,29070,5232.599999999999,30,Procurement,Dawn Sparks,0,0,30,0,70930,1
Galvan Group,V044,MVCA00059102364184,INV-42599,2026-04-15,2026-05-30,2854,17,48518,8733.24,45,IT,Jacqueline Welch,0,0,45,0,51482,1
Thompson Group,V032,MGMX08494391643677,INV-21375,2025-12-14,2026-01-13,1652,19,31388,5649.84,30,Operations,Jennifer Wheeler,0,0,30,1,68612,1
Larsen-Jones,V022,CPEG60025257974891,INV-40361,2025-08-03,2025-10-02,4812,8,38496,6929.28,60,Finance,Jessica Hernandez,0,0,60,1,61504,1
Conway-Wilson,V033,XIAK62282423299045,INV-53513,2026-03-28,2026-05-27,1886,15,28290,5092.2,60,Finance,Casey Baker DDS,0,0,60,1,71710,1
Thompson Group,V032,QSRI51009594544636,INV-12053,2026-02-28,2026-03-30,4221,8,33768,6078.24,30,Finance,Austin Wilkinson,0,0,30,1,66232,1
